,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
timestamp,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
20190312T0000,-0.24947134,12.940529,7.1017795,21.0,84.0,50.958332,6.193674,41.52659,18.159998,219.47968
20190313T0000,3.3305285,8.220529,5.7663627,55.0,83.0,71.041664,22.682856,35.364388,29.897285,258.94226
20190314T0000,3.6505284,8.720529,5.8855286,69.0,88.0,78.791664,26.980793,48.359406,35.615612,253.80167
20190315T0000,7.9105287,12.410529,10.434696,73.0,86.0,80375,26.042212,42.99702,34.35829,261.7954
20190316T0000,7.5605288,16.20053,11.215945,47.0,82.0,63.791668,4.452954,31.616526,21.709124,256.0745
20190317T0000,3.7805285,13.770529,8.655946,36.0,81.0,58.916668,9.007196,36.08091,20.433245,259.45572
20190318T0000,0.7505287,8.060529,4.487612,56.0,95.0,73375,3.6179552,36.001797,18.519463,271.58847
20190319T0000,2.5105286,10.130529,6.4696956,48.0,82.0,63875,2.0991426,13.556282,6.704492,66.00323
20190320T0000,-0.40947133,13.150529,6.0101123,35.0,88.0,61.541668,0.5091169,17.057314,7.745375,87.9127
20190321T0000,0.6305287,14.630529,7.0130296,42.0,80.0,62.083332,0.35999998,9.255571,4.9783983,66.37063
20190322T0000,1.5005287,17.490528,10.402196,40.0,81.0,57.916668,0.35999998,9.107359,5.021563,115.360405
20190323T0000,8.060529,17.90053,12.4896965,39.0,78.0,60.5,0.0,13.779114,6.6892986,314375
20190324T0000,6.4005284,18.100529,11.84803,47.0,98.0,73.75,0.0,19.513195,8.334264,328.36935
20190325T0000,3.7905285,10.3005295,7.911363,44.0,90.0,62.541668,11.525623,26.980793,18.256138,342.36646
20190326T0000,1.4105287,10.250529,5.873862,43.0,91.0,66.708336,6.4799995,16.75064,11.413742,4.2141724
20190327T0000,1.5305287,13.320529,7.5367794,40.0,80.0,61.458332,3.096837,18.899143,9.721629,81.38711
20190328T0000,1.4105287,15.540529,8.331779,37.0,85.0,63.416668,0.8049845,22.104116,9.884717,81.41086
20190329T0000,3.8005285,16.95053,10.453862,42.0,84.0,61.958332,0.8049845,9.36,4.764656,102.12708
20190330T0000,7.2505283,18.89053,13.490945,33.0,57.0,44.75,1.1384199,9.255571,4.4647803,149.21584
20190331T0000,9.070529,19.96053,13.857196,33.0,68.0,53.083332,1.4399999,10.446206,5.553084,87.742195
20190401T0000,5.4205284,18.000528,11.698863,51.0,95.0,71.416664,1.1384199,8.217153,5.0959735,291656
20190402T0000,9.370529,19.280529,14.140946,36.0,73.0,53.916668,3.7585104,23.893261,11.010311,257.57812
20190403T0000,3.1405284,12.120529,7.4855294,55.0,90.0,74.75,2.3051248,30.29566,14.902038,264.56662
